CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,CONTEXT,MAPPED_TRAIT
2,234557214,rs1108143-G,regulatory_region_variant,gastric carcinoma
5,40791782,rs13361707-C,intron_variant,gastric carcinoma
1,155192276,rs4072037-A,synonymous_variant,gastric carcinoma
11,133242868,rs4578395-C,intron_variant,gastric carcinoma
5,40790449,rs10074991-G,intron_variant,gastric carcinoma
6,41037763,rs2294693-C,intron_variant,gastric carcinoma
6,41037763,rs2294693-C,intron_variant,gastric carcinoma
5,40790449,rs10074991-G,intron_variant,gastric carcinoma
6,31281955,rs2853940-C,intergenic_variant,gastric carcinoma
8,142679726,rs2920280-C,intron_variant,gastric carcinoma
13,81280737,rs375852527-C,intron_variant,gastric carcinoma
5,40743936,rs59585832-T,intron_variant,gastric carcinoma
6,31271808,rs1050437-T,missense_variant,gastric carcinoma
6,33820860,rs9368777-C,regulatory_region_variant,gastric carcinoma
13,81280737,rs375852527-C,intron_variant,gastric carcinoma
2,201258272,rs3769823-A,missense_variant,basal cell carcinoma
10,62637778,rs16917546-C,intron_variant,basal cell carcinoma
1,17423008,rs730153-A,intron_variant,basal cell carcinoma
6,167042141,rs162298-A,3_prime_UTR_variant,basal cell carcinoma
1,150764744,rs41271951-G,missense_variant,basal cell carcinoma
2,5548849,rs2882274-T,regulatory_region_variant,basal cell carcinoma
2,7564729,rs79522206-A,intergenic_variant,basal cell carcinoma
2,16309563,rs340797-T,intron_variant,basal cell carcinoma
2,38070996,rs1800440-C,missense_variant,basal cell carcinoma
2,201286440,rs3769818-A,intron_variant,basal cell carcinoma
8,76562895,rs10216564-C,intron_variant,basal cell carcinoma
3,71468376,rs11708920-T,intron_variant,basal cell carcinoma
3,112336946,rs4682103-A,intron_variant,basal cell carcinoma
9,16529556,rs10962474-T,intron_variant,basal cell carcinoma
5,1285859,rs7705526-A,intron_variant,basal cell carcinoma
9,16864523,rs2153271-C,intron_variant,basal cell carcinoma
9,22048392,rs7027950-T,intron_variant,basal cell carcinoma
9,104094171,rs3818625-G,TF_binding_site_variant,basal cell carcinoma
6,461906,rs962518-G,intron_variant,basal cell carcinoma
10,9238431,rs17486892-C,intergenic_variant,basal cell carcinoma
10,13699034,rs1830992-A,intron_variant,basal cell carcinoma
11,64340263,rs663743-A,5_prime_UTR_variant,basal cell carcinoma
11,65813167,rs12576996-G,intergenic_variant,basal cell carcinoma
11,89284793,rs1126809-A,missense_variant,basal cell carcinoma
12,47844438,rs739837-G,3_prime_UTR_variant,basal cell carcinoma
1,113834946,rs2476601-A,missense_variant,basal cell carcinoma
7,17588866,rs76128631-T,intergenic_variant,basal cell carcinoma
1,228853327,rs801108-G,regulatory_region_variant,basal cell carcinoma
7,47408324,rs834603-G,intron_variant,basal cell carcinoma
7,50138110,rs12718245-C,intron_variant,basal cell carcinoma
7,101750443,rs78227582-T,intergenic_variant,basal cell carcinoma
7,130900733,rs157934-C,intron_variant,basal cell carcinoma
8,23018472,rs2241260-G,3_prime_UTR_variant,basal cell carcinoma
2,203874196,rs3087243-A,intergenic_variant,basal cell carcinoma
8,80498980,rs55942834-G,intron_variant,basal cell carcinoma
8,100035220,rs28884287-T,intron_variant,basal cell carcinoma
3,188405190,rs2049218-T,intron_variant,basal cell carcinoma
9,16713668,rs10738451-C,intron_variant,basal cell carcinoma
5,1320132,rs380286-A,intron_variant,basal cell carcinoma
6,453415,rs9392026-G,non_coding_transcript_exon_variant,basal cell carcinoma
10,8953329,rs74623270-A,intergenic_variant,basal cell carcinoma
6,501939,rs6919639-T,intron_variant,basal cell carcinoma
10,10731744,rs35202367-A,intergenic_variant,basal cell carcinoma
6,31253522,rs17197839-A,intergenic_variant,basal cell carcinoma
6,32637724,rs9272451-G,intron_variant,basal cell carcinoma
14,75443194,rs909223-G,intron_variant,basal cell carcinoma
16,89650085,rs35749174-A,intron_variant,basal cell carcinoma
16,89871237,rs45609834-C,3_prime_UTR_variant,basal cell carcinoma
16,89966047,rs117204628-T,3_prime_UTR_variant,basal cell carcinoma
16,90103687,rs56407236-A,non_coding_transcript_exon_variant,basal cell carcinoma
17,7668434,rs78378222-G,3_prime_UTR_variant,basal cell carcinoma
17,18159129,rs854807-A,intron_variant,basal cell carcinoma
19,1109216,rs11669443-A,splice_region_variant,basal cell carcinoma
19,4831866,rs4807000-A,regulatory_region_variant,basal cell carcinoma
20,2175753,rs1575126-C,intron_variant,basal cell carcinoma
20,2254824,rs6113392-A,intron_variant,basal cell carcinoma
20,2309687,rs214803-C,missense_variant,basal cell carcinoma
20,2340459,rs214830-G,missense_variant,basal cell carcinoma
20,33053484,rs127896-A,regulatory_region_variant,basal cell carcinoma
20,34077942,rs6059655-A,intron_variant,basal cell carcinoma
20,35102207,rs4911466-C,intergenic_variant,basal cell carcinoma
20,39665454,rs789426-G,intergenic_variant,basal cell carcinoma
20,50776208,rs11908416-A,intergenic_variant,basal cell carcinoma
21,41668926,rs2849699-A,regulatory_region_variant,basal cell carcinoma
6,475489,rs12210050-T,non_coding_transcript_exon_variant,basal cell carcinoma
13,99389484,rs7335046-G,intergenic_variant,basal cell carcinoma
9,136446350,rs13301660-T,intron_variant,basal cell carcinoma
13,112879337,rs1765871-A,intron_variant,basal cell carcinoma
12,95986028,rs3213737-G,intron_variant,basal cell carcinoma
8,115620592,rs2721936-A,intron_variant,basal cell carcinoma
6,150032420,rs12205199-A,intergenic_variant,basal cell carcinoma
9,681645,rs9408674-A,intron_variant,basal cell carcinoma
2,5544654,rs62112661-A,intergenic_variant,basal cell carcinoma
13,99303544,rs1927729-A,intron_variant,basal cell carcinoma
19,1106478,rs8178977-C,intron_variant,basal cell carcinoma
1,155011887,rs1870940-A,intron_variant,basal cell carcinoma
20,50782470,rs62202837-C,intergenic_variant,basal cell carcinoma
3,98728296,rs7620634-G,intron_variant,basal cell carcinoma
20,39117811,rs209901-G,regulatory_region_variant,basal cell carcinoma
8,97354773,rs7833199-C,regulatory_region_variant,basal cell carcinoma
8,119070732,rs13261635-C,intron_variant,basal cell carcinoma
2,203876143,rs231726-C,intergenic_variant,basal cell carcinoma
19,49648429,rs7508601-T,intron_variant,basal cell carcinoma
6,4979722,rs1246946-C,intergenic_variant,basal cell carcinoma
13,32380424,rs7328654-G,intron_variant,basal cell carcinoma
11,65873562,rs10896064-G,5_prime_UTR_variant,basal cell carcinoma
10,13698917,rs1887004-C,intron_variant,basal cell carcinoma
2,160500206,rs7563677-G,intergenic_variant,basal cell carcinoma
11,64340263,rs663743-A,5_prime_UTR_variant,basal cell carcinoma
10,62642673,rs10995255-A,intron_variant,basal cell carcinoma
7,50136567,rs10228836-A,intron_variant,basal cell carcinoma
19,4837545,rs10424978-A,regulatory_region_variant,basal cell carcinoma
7,17593140,rs17137933-T,intergenic_variant,basal cell carcinoma
5,44411963,rs11741260-A,intron_variant,basal cell carcinoma
10,103916188,rs9419958-T,intron_variant,basal cell carcinoma
2,38070996,rs1800440-T,missense_variant,basal cell carcinoma
15,28165345,rs12916300-T,intron_variant,basal cell carcinoma
15,78944951,rs2289702-T,missense_variant,basal cell carcinoma
21,41668857,rs2776353-A,regulatory_region_variant,basal cell carcinoma
7,130899925,rs125124-C,intron_variant,basal cell carcinoma
9,22054691,rs7874604-T,intron_variant,basal cell carcinoma
14,75470497,rs55818536-C,3_prime_UTR_variant,basal cell carcinoma
5,1325475,rs421284-T,non_coding_transcript_exon_variant,basal cell carcinoma
6,32616594,rs34694416-T,regulatory_region_variant,basal cell carcinoma
11,89284793,rs1126809-A,missense_variant,basal cell carcinoma
1,17419777,rs7528427-T,intron_variant,basal cell carcinoma
1,228858641,rs12070203-T,intergenic_variant,basal cell carcinoma
2,7564729,rs79522206-A,intergenic_variant,basal cell carcinoma
20,34077942,rs6059655-A,intron_variant,basal cell carcinoma
6,396321,rs12203592-T,intron_variant,basal cell carcinoma
8,76571195,rs35251485-G,intron_variant,basal cell carcinoma
10,8920514,rs138501911-C,intergenic_variant,basal cell carcinoma
8,99999120,rs2199333-C,intron_variant,basal cell carcinoma
8,80479448,rs10102591-G,intron_variant,basal cell carcinoma
6,166981146,rs4710154-T,intron_variant,basal cell carcinoma
20,2309687,rs214803-C,missense_variant,basal cell carcinoma
17,7668434,rs78378222-G,3_prime_UTR_variant,basal cell carcinoma
2,201288961,rs6714430-C,intron_variant,basal cell carcinoma
2,16299921,rs6739779-C,intron_variant,basal cell carcinoma
3,71473027,rs35540156-G,intron_variant,basal cell carcinoma
3,188370530,rs11719821-C,intron_variant,basal cell carcinoma
16,89388583,rs117984432-C,intron_variant,basal cell carcinoma
1,110181866,rs535930-A,intron_variant,basal cell carcinoma
7,6379042,rs836489-G,intron_variant,basal cell carcinoma
1,150764744,rs41271951-G,missense_variant,basal cell carcinoma
1,113834946,rs2476601-G,missense_variant,basal cell carcinoma
6,90296024,rs6908626-G,intron_variant,basal cell carcinoma
21,41668857,rs2776353-A,regulatory_region_variant,basal cell carcinoma
19,4837475,rs10425559-G,TF_binding_site_variant,basal cell carcinoma
7,47403036,rs7776701-C,intron_variant,basal cell carcinoma
6,31857135,rs9267650-T,intergenic_variant,basal cell carcinoma
10,103920874,rs7907606-G,intron_variant,basal cell carcinoma
6,166981146,rs4710154-T,intron_variant,basal cell carcinoma
6,22056694,rs2294214-C,splice_donor_region_variant,basal cell carcinoma
6,396321,rs12203592-T,intron_variant,basal cell carcinoma
6,475489,rs12210050-T,non_coding_transcript_exon_variant,basal cell carcinoma
20,2302811,rs214785-C,intron_variant,basal cell carcinoma
5,33946466,rs35407-G,3_prime_UTR_variant,basal cell carcinoma
20,34077942,rs6059655-A,intron_variant,basal cell carcinoma
1,17418040,rs57142672-G,intron_variant,basal cell carcinoma
10,8894035,rs73635312-G,intergenic_variant,basal cell carcinoma
11,89284793,rs1126809-A,missense_variant,basal cell carcinoma
5,1325475,rs421284-T,non_coding_transcript_exon_variant,basal cell carcinoma
2,201300483,rs2080303-T,intron_variant,basal cell carcinoma
15,28165345,rs12916300-T,intron_variant,basal cell carcinoma
8,76562310,rs10093547-G,intron_variant,basal cell carcinoma
9,22054691,rs7874604-T,intron_variant,basal cell carcinoma
17,7668434,rs78378222-G,3_prime_UTR_variant,basal cell carcinoma
7,130900794,rs157935-T,intron_variant,basal cell carcinoma
3,71572518,rs2116709-A,non_coding_transcript_exon_variant,basal cell carcinoma
4,70264671,rs191177147-T,intergenic_variant,basal cell carcinoma
6,32717158,rs9275642-C,intergenic_variant,basal cell carcinoma
8,80477556,rs11993814-C,intron_variant,basal cell carcinoma
1,17423008,rs730153-A,intron_variant,basal cell carcinoma
1,41447314,rs12142181-T,intergenic_variant,basal cell carcinoma
1,110181866,rs535930-A,intron_variant,basal cell carcinoma
1,150980198,rs6587551-T,regulatory_region_variant,basal cell carcinoma
1,155041950,rs55668940-A,intron_variant,basal cell carcinoma
1,205211934,rs2369633-C,regulatory_region_variant,basal cell carcinoma
2,7564729,rs79522206-A,intergenic_variant,basal cell carcinoma
2,16299921,rs6739779-T,intron_variant,basal cell carcinoma
2,38070996,rs1800440-C,missense_variant,basal cell carcinoma
2,201279205,rs10931936-C,intron_variant,basal cell carcinoma
2,203876443,rs1427676-T,intergenic_variant,basal cell carcinoma
3,71496019,rs11720523-A,intron_variant,basal cell carcinoma
3,98728296,rs7620634-A,intron_variant,basal cell carcinoma
3,156775424,rs9878566-T,intron_variant,basal cell carcinoma
3,188411006,rs73192661-T,intron_variant,basal cell carcinoma
5,1317705,rs3816659-G,intergenic_variant,basal cell carcinoma
5,33926949,rs13177787-C,intergenic_variant,basal cell carcinoma
5,90911582,rs6889986-A,intron_variant,basal cell carcinoma
5,149813283,rs17110447-G,intron_variant,basal cell carcinoma
6,463479,rs11961808-A,intron_variant,basal cell carcinoma
6,22060353,rs885769-C,intron_variant,basal cell carcinoma
6,32611181,rs502803-A,intergenic_variant,basal cell carcinoma
6,166956865,rs2757039-T,intron_variant,basal cell carcinoma
7,6379418,rs866278-G,intron_variant,basal cell carcinoma
7,17095084,rs117132860-A,intron_variant,basal cell carcinoma
7,47408324,rs834603-G,intron_variant,basal cell carcinoma
7,130900733,rs157934-C,intron_variant,basal cell carcinoma
8,76571195,rs35251485-A,intron_variant,basal cell carcinoma
8,80479449,rs10102592-A,intron_variant,basal cell carcinoma
8,100016011,rs6989943-A,intron_variant,basal cell carcinoma
8,115621679,rs2009382-T,intron_variant,basal cell carcinoma
9,681645,rs9408674-A,intron_variant,basal cell carcinoma
9,12582787,rs10429629-G,intergenic_variant,basal cell carcinoma
9,16864523,rs2153271-T,intron_variant,basal cell carcinoma
9,22049657,rs10811645-A,intron_variant,basal cell carcinoma
9,104145538,rs10820610-A,intergenic_variant,basal cell carcinoma
9,136430285,rs33982662-A,synonymous_variant,basal cell carcinoma
10,6056861,rs706779-C,intron_variant,basal cell carcinoma
10,8923021,rs79134926-T,intergenic_variant,basal cell carcinoma
10,10729601,rs12767525-T,intergenic_variant,basal cell carcinoma
10,62658979,rs6479830-C,non_coding_transcript_exon_variant,basal cell carcinoma
10,117813667,rs7098111-T,intergenic_variant,basal cell carcinoma
11,61829740,rs174570-T,intron_variant,basal cell carcinoma
11,64340005,rs479777-C,non_coding_transcript_exon_variant,basal cell carcinoma
11,65871248,rs633800-A,missense_variant,basal cell carcinoma
11,69121899,rs2924552-T,intron_variant,basal cell carcinoma
11,89311357,rs10830255-C,intergenic_variant,basal cell carcinoma
11,95578258,rs4409785-C,intron_variant,basal cell carcinoma
12,56007301,rs10876864-A,TF_binding_site_variant,basal cell carcinoma
12,95986028,rs3213737-A,intron_variant,basal cell carcinoma
12,132561917,rs7301141-G,intron_variant,basal cell carcinoma
13,112881428,rs9549317-G,non_coding_transcript_exon_variant,basal cell carcinoma
14,75469205,rs77100309-A,intron_variant,basal cell carcinoma
14,103521843,rs1136165-T,synonymous_variant,basal cell carcinoma
15,28074502,rs79743671-A,intron_variant,basal cell carcinoma
16,90036709,rs7498985-A,3_prime_UTR_variant,basal cell carcinoma
19,4831866,rs4807000-G,regulatory_region_variant,basal cell carcinoma
19,49647969,rs2082481-A,intron_variant,basal cell carcinoma
20,2305059,rs214793-T,intron_variant,basal cell carcinoma
20,36421920,rs8114927-C,intron_variant,basal cell carcinoma
20,50776208,rs11908416-A,intergenic_variant,basal cell carcinoma
21,41663383,rs2849695-C,regulatory_region_variant,basal cell carcinoma
6,90296024,rs6908626-T,intron_variant,basal cell carcinoma
10,117813667,rs7098111-T,intergenic_variant,basal cell carcinoma
14,75456947,rs7145468-G,intron_variant,basal cell carcinoma
15,67121499,rs7359174-A,intron_variant,basal cell carcinoma
19,49648429,rs7508601-A,intron_variant,basal cell carcinoma
2,201311571,rs7582362-G,intron_variant,basal cell carcinoma
12,55996580,rs772920-G,3_prime_UTR_variant,basal cell carcinoma
7,17559003,rs77890471-C,regulatory_region_variant,basal cell carcinoma
8,97354773,rs7833199-C,regulatory_region_variant,basal cell carcinoma
8,115599405,rs7834300-C,intron_variant,basal cell carcinoma
1,168528503,rs78663305-G,intergenic_variant,basal cell carcinoma
9,22054691,rs7874604-C,intron_variant,basal cell carcinoma
6,32461500,rs9268847-G,intron_variant,basal cell carcinoma
10,103916188,rs9419958-C,intron_variant,basal cell carcinoma
13,112881316,rs9549316-C,non_coding_transcript_exon_variant,basal cell carcinoma
12,26268501,rs9668178-A,intron_variant,basal cell carcinoma
9,89753196,rs9695995-G,intergenic_variant,basal cell carcinoma
5,132242944,rs4705928-T,intron_variant,basal cell carcinoma
6,166981146,rs4710154-T,intron_variant,basal cell carcinoma
1,155041950,rs55668940-A,intron_variant,basal cell carcinoma
8,127991212,rs55807015-A,intron_variant,basal cell carcinoma
20,34648892,rs56238684-C,intron_variant,basal cell carcinoma
6,31441506,rs61447909-A,intron_variant,basal cell carcinoma
19,17291050,rs61494113-A,intergenic_variant,basal cell carcinoma
20,50782249,rs62202836-T,intergenic_variant,basal cell carcinoma
6,421281,rs62389423-A,intergenic_variant,basal cell carcinoma
11,64340263,rs663743-A,5_prime_UTR_variant,basal cell carcinoma
1,214373518,rs6700380-T,intron_variant,basal cell carcinoma
2,144876586,rs6738560-A,intron_variant,basal cell carcinoma
2,9968385,rs6741117-C,intron_variant,basal cell carcinoma
3,71569806,rs11710593-A,intron_variant,basal cell carcinoma
7,17095084,rs117132860-A,intron_variant,basal cell carcinoma
19,4837475,rs10425559-G,TF_binding_site_variant,basal cell carcinoma
20,2281107,rs117491519-A,intron_variant,basal cell carcinoma
6,150026835,rs11752529-T,intergenic_variant,basal cell carcinoma
11,65873562,rs10896064-C,5_prime_UTR_variant,basal cell carcinoma
6,413389,rs10900944-A,regulatory_region_variant,basal cell carcinoma
7,130899925,rs125124-G,intron_variant,basal cell carcinoma
9,16531047,rs10962476-T,intron_variant,basal cell carcinoma
10,10729601,rs12767525-T,intergenic_variant,basal cell carcinoma
15,28165345,rs12916300-T,intron_variant,basal cell carcinoma
16,90023896,rs12925361-A,intron_variant,basal cell carcinoma
16,89752324,rs12931267-G,intron_variant,basal cell carcinoma
10,8906570,rs11255972-T,intron_variant,basal cell carcinoma
2,5540132,rs13409347-T,intergenic_variant,basal cell carcinoma
10,8920514,rs138501911-T,intergenic_variant,basal cell carcinoma
11,89284793,rs1126809-A,missense_variant,basal cell carcinoma
2,198090050,rs11684176-T,intron_variant,basal cell carcinoma
20,39319655,rs1008351-G,intergenic_variant,basal cell carcinoma
20,34150529,rs1015363-A,intergenic_variant,basal cell carcinoma
7,28102469,rs10274928-G,intron_variant,basal cell carcinoma
5,38756615,rs11743151-T,intron_variant,basal cell carcinoma
16,89988296,rs11866420-G,intron_variant,basal cell carcinoma
1,17445652,rs12122129-A,intergenic_variant,basal cell carcinoma
9,16795785,rs10962600-T,intron_variant,basal cell carcinoma
11,95587644,rs11021232-C,intron_variant,basal cell carcinoma
3,49974107,rs11130229-C,intron_variant,basal cell carcinoma
7,100761831,rs112108851-T,intron_variant,basal cell carcinoma
11,69567999,rs11263498-C,TF_binding_site_variant,basal cell carcinoma
2,201505320,rs139504624-C,intron_variant,basal cell carcinoma
6,421281,rs62389423-A,intergenic_variant,basal cell carcinoma
11,64340263,rs663743-A,5_prime_UTR_variant,basal cell carcinoma
1,214373518,rs6700380-T,intron_variant,basal cell carcinoma
2,9973368,rs6726950-G,intron_variant,basal cell carcinoma
6,90296024,rs6908626-T,intron_variant,basal cell carcinoma
10,6056861,rs706779-C,intron_variant,basal cell carcinoma
10,117813667,rs7098111-T,intergenic_variant,basal cell carcinoma
1,228988367,rs710805-T,intergenic_variant,basal cell carcinoma
16,89648436,rs71396949-A,missense_variant,basal cell carcinoma
14,75456947,rs7145468-G,intron_variant,basal cell carcinoma
16,89954453,rs7195043-T,intron_variant,basal cell carcinoma
20,37164857,rs73094911-C,intron_variant,basal cell carcinoma
2,16249714,rs73215860-T,intron_variant,basal cell carcinoma
15,67121499,rs7359174-A,intron_variant,basal cell carcinoma
16,89924435,rs74415461-T,intron_variant,basal cell carcinoma
9,21941316,rs74903566-A,intron_variant,basal cell carcinoma
5,1325475,rs421284-C,non_coding_transcript_exon_variant,basal cell carcinoma
8,99995449,rs4354278-A,intron_variant,basal cell carcinoma
3,101539934,rs4580527-C,intergenic_variant,basal cell carcinoma
6,166981146,rs4710154-T,intron_variant,basal cell carcinoma
20,35102207,rs4911466-T,intergenic_variant,basal cell carcinoma
1,155041950,rs55668940-A,intron_variant,basal cell carcinoma
8,127991212,rs55807015-A,intron_variant,basal cell carcinoma
20,34077942,rs6059655-G,intron_variant,basal cell carcinoma
6,31441506,rs61447909-A,intron_variant,basal cell carcinoma
19,17291050,rs61494113-A,intergenic_variant,basal cell carcinoma
20,50782249,rs62202836-T,intergenic_variant,basal cell carcinoma
11,89284793,rs1126809-A,missense_variant,basal cell carcinoma
5,38756615,rs11743151-T,intron_variant,basal cell carcinoma
6,150026835,rs11752529-T,intergenic_variant,basal cell carcinoma
8,80477556,rs11993814-T,intron_variant,basal cell carcinoma
1,17445652,rs12122129-A,intergenic_variant,basal cell carcinoma
1,183020814,rs12132262-A,intergenic_variant,basal cell carcinoma
7,130899925,rs125124-G,intron_variant,basal cell carcinoma
10,10729601,rs12767525-T,intergenic_variant,basal cell carcinoma
16,89752324,rs12931267-G,intron_variant,basal cell carcinoma
2,5540132,rs13409347-T,intergenic_variant,basal cell carcinoma
10,8920514,rs138501911-T,intergenic_variant,basal cell carcinoma
2,203876443,rs1427676-T,intergenic_variant,basal cell carcinoma
2,198035639,rs1579695-A,intron_variant,basal cell carcinoma
2,16317140,rs16982253-C,intron_variant,basal cell carcinoma
20,33480139,rs17401449-G,intergenic_variant,basal cell carcinoma
2,38070996,rs1800440-C,missense_variant,basal cell carcinoma
10,13698917,rs1887004-C,intron_variant,basal cell carcinoma
3,101550194,rs1918405-G,intergenic_variant,basal cell carcinoma
3,188405190,rs2049218-T,intron_variant,basal cell carcinoma
20,2309687,rs214803-A,missense_variant,basal cell carcinoma
8,23019226,rs2241261-T,3_prime_UTR_variant,basal cell carcinoma
15,78944951,rs2289702-T,missense_variant,basal cell carcinoma
10,6348230,rs2387397-C,intron_variant,basal cell carcinoma
2,7612124,rs2572140-A,intergenic_variant,basal cell carcinoma
21,41668857,rs2776353-T,regulatory_region_variant,basal cell carcinoma
9,97704354,rs2805831-A,intron_variant,basal cell carcinoma
11,94729927,rs2895570-C,intron_variant,basal cell carcinoma
5,151776150,rs2964574-A,intron_variant,basal cell carcinoma
12,95986028,rs3213737-A,intron_variant,basal cell carcinoma
7,50152996,rs35254219-T,intron_variant,basal cell carcinoma
3,71495101,rs35768603-C,intron_variant,basal cell carcinoma
1,150764744,rs41271951-G,missense_variant,basal cell carcinoma
5,1325475,rs421284-C,non_coding_transcript_exon_variant,basal cell carcinoma
10,103916188,rs9419958-C,intron_variant,basal cell carcinoma
13,112881316,rs9549316-C,non_coding_transcript_exon_variant,basal cell carcinoma
6,461906,rs962518-A,intron_variant,basal cell carcinoma
7,130891687,rs9649546-C,intron_variant,basal cell carcinoma
12,26268501,rs9668178-A,intron_variant,basal cell carcinoma
16,90040945,rs9933627-A,intron_variant,basal cell carcinoma
8,22737541,rs117101060-T,intron_variant,basal cell carcinoma
2,34041725,rs1364689-A,intron_variant,basal cell carcinoma
2,216494670,rs74269473-T,intron_variant,basal cell carcinoma
11,99874488,rs74603527-G,intron_variant,basal cell carcinoma
20,39319655,rs1008351-G,intergenic_variant,basal cell carcinoma
19,4837475,rs10425559-G,TF_binding_site_variant,basal cell carcinoma
11,65873562,rs10896064-C,5_prime_UTR_variant,basal cell carcinoma
3,169796797,rs10936600-T,missense_variant,basal cell carcinoma
3,49974107,rs11130229-C,intron_variant,basal cell carcinoma
7,100761831,rs112108851-T,intron_variant,basal cell carcinoma
19,49648429,rs7508601-A,intron_variant,basal cell carcinoma
2,201311571,rs7582362-G,intron_variant,basal cell carcinoma
2,7614489,rs76629241-A,intergenic_variant,basal cell carcinoma
12,55996580,rs772920-G,3_prime_UTR_variant,basal cell carcinoma
7,17559003,rs77890471-C,regulatory_region_variant,basal cell carcinoma
8,97354773,rs7833199-C,regulatory_region_variant,basal cell carcinoma
17,7668434,rs78378222-G,3_prime_UTR_variant,basal cell carcinoma
1,168528503,rs78663305-G,intergenic_variant,basal cell carcinoma
9,22054691,rs7874604-C,intron_variant,basal cell carcinoma
2,7577376,rs79483583-C,intergenic_variant,basal cell carcinoma
15,49865986,rs8038434-T,intron_variant,basal cell carcinoma
2,187480595,rs8176526-T,intron_variant,basal cell carcinoma
20,2236645,rs874501-C,intron_variant,basal cell carcinoma
6,33071848,rs9277341-C,intron_variant,basal cell carcinoma
10,6348230,rs2387397-C,intron_variant,basal cell carcinoma
2,7612124,rs2572140-A,intergenic_variant,basal cell carcinoma
5,1287225,rs2736099-G,intron_variant,basal cell carcinoma
21,41668857,rs2776353-T,regulatory_region_variant,basal cell carcinoma
9,97704354,rs2805831-A,intron_variant,basal cell carcinoma
6,32451092,rs28895097-T,intergenic_variant,basal cell carcinoma
11,94729927,rs2895570-C,intron_variant,basal cell carcinoma
5,151776150,rs2964574-A,intron_variant,basal cell carcinoma
12,95986028,rs3213737-A,intron_variant,basal cell carcinoma
7,50152996,rs35254219-T,intron_variant,basal cell carcinoma
3,71495101,rs35768603-C,intron_variant,basal cell carcinoma
20,33046982,rs403598-A,intergenic_variant,basal cell carcinoma
1,150764744,rs41271951-G,missense_variant,basal cell carcinoma
20,2268925,rs142526110-T,intron_variant,basal cell carcinoma
2,200885960,rs16835425-T,intron_variant,basal cell carcinoma
10,62637778,rs16917546-C,intron_variant,basal cell carcinoma
2,16317140,rs16982253-C,intron_variant,basal cell carcinoma
2,144895720,rs17479393-T,intron_variant,basal cell carcinoma
2,38070996,rs1800440-C,missense_variant,basal cell carcinoma
3,188405190,rs2049218-T,intron_variant,basal cell carcinoma
20,2309687,rs214803-A,missense_variant,basal cell carcinoma
20,2340459,rs214830-C,missense_variant,basal cell carcinoma
6,15388046,rs2237159-A,intron_variant,basal cell carcinoma
8,23019226,rs2241261-T,3_prime_UTR_variant,basal cell carcinoma
8,115610679,rs2245019-A,intron_variant,basal cell carcinoma
15,78944951,rs2289702-T,missense_variant,basal cell carcinoma
3,178071422,rs149426421-T,intron_variant,"body mass index, response to cranial radiation therapy"
10,78483013,rs575792008-A,intron_variant,"body mass index, response to cranial radiation therapy"
20,16208618,rs2327990-T,intron_variant,"metastasis measurement, disease progression measurement"
3,134794514,rs11918092-C,intron_variant,"metastasis measurement, disease progression measurement"
2,174340785,rs7582977-C,regulatory_region_variant,"metastasis measurement, disease progression measurement"
13,47544647,rs9534678-A,intergenic_variant,"metastasis measurement, disease progression measurement"
5,148793365,rs9285673-C,regulatory_region_variant,"metastasis measurement, disease progression measurement"
6,90477791,rs1145724-G,regulatory_region_variant,"metastasis measurement, disease progression measurement"
4,14294676,rs1426107-A,regulatory_region_variant,"metastasis measurement, disease progression measurement"
5,139465014,rs28419191-C,intergenic_variant,"response to radiation, mucositis"
5,139478334,rs1131769-C,missense_variant,"response to radiation, mucositis"
5,53348817,rs37792-A,intergenic_variant,ovarian serous carcinoma
10,3641956,rs79079890-G,intergenic_variant,ovarian serous carcinoma
15,26986803,rs116046250-G,intron_variant,ovarian serous carcinoma
4,79376097,rs192876988-C,intergenic_variant,ovarian serous carcinoma
12,107582831,rs35189640-T,intron_variant,oropharynx cancer
4,99318162,rs1229984-G,missense_variant,oropharynx cancer
16,79768943,rs4284656-T,non_coding_transcript_exon_variant,oropharynx cancer
2,199223244,rs62178732-G,intergenic_variant,oropharynx cancer
1,110235437,rs17358800-A,3_prime_UTR_variant,oropharynx cancer
11,130558363,rs1021455-C,intergenic_variant,oropharynx cancer
2,61645668,rs111510828-G,intergenic_variant,oropharynx cancer
4,182335224,rs112500619-C,intron_variant,oropharynx cancer
5,7439973,rs76122614-G,intron_variant,oropharynx cancer
9,4970909,rs7870381-A,regulatory_region_variant,oropharynx cancer
8,19513087,rs9644630-C,intron_variant,oropharynx cancer
4,84811016,rs6847067-A,intron_variant,oropharynx cancer
2,223036938,rs1837494-G,regulatory_region_variant,oropharynx cancer
2,223040390,rs1961637-T,intergenic_variant,oropharynx cancer
2,30871379,rs2216824-A,intergenic_variant,oropharynx cancer
6,32668343,rs3828805-C,5_prime_UTR_variant,oropharynx cancer
4,166008836,rs17047200-T,intron_variant,"response to interferon, hepatocellular carcinoma"
21,29773850,rs455804-C,intron_variant,hepatocellular carcinoma
6,32698518,rs9275319-A,intergenic_variant,hepatocellular carcinoma
2,191099907,rs7574865-G,intron_variant,hepatocellular carcinoma
7,90689160,rs10272859-G,intron_variant,"hepatitis B virus infection, hepatocellular carcinoma"
1,10325413,rs17401966-G,intron_variant,"hepatitis B virus infection, hepatocellular carcinoma"
